"bld-To-1","34.7805","32.084","Appartment","ppl-To-1"
"bld-To-2","34.7795","32.084","Commercial","ppl-To-2"
"bld-Tx-3","34.7815","32.084","Warehouse","ppl-Txm-11"
"bld-To-4","34.7805","32.085","Appartment","ppl-Tsm-12"
"bld-Tx-5","34.7795","32.085","Commercial","ppl-Txm-21"
"bld-To-6","34.7815","32.085","Warehouse","ppl-Tsm-22"
"bld-To-7","34.7805","32.083","Appartment","ppl-To-31"
"bld-To-8","34.7795","32.083","Commercial","ppl-To-32"
"bld-To-9","34.7815","32.083","Warehouse","ppl-To-41"
"bld-To-10","34.7865","32.078","Appartment","ppl-To-42"
"bld-To-11","34.7855","32.078","Commercial","ppl-To-51"
"bld-To-12","34.7875","32.078","Warehouse","ppl-To-52"
"bld-To-13","34.7865","32.079","Appartment","ppl-To-61"
"bld-To-14","34.7855","32.079","Commercial","ppl-To-62"
"bld-To-15","34.7875","32.079","Warehouse","ppl-To-71"
"bld-To-16","34.7865","32.077","Appartment","ppl-To-72"
"bld-To-17","34.7855","32.077","Commercial","ppl-To-81"
"bld-Tx-18","34.7875","32.077","Warehouse","ppl-Txe-82"
"bld-To-19","34.7865","32.084","Appartment","ppl-To-91"
"bld-To-20","34.7855","32.084","Commercial","ppl-To-92"
"bld-To-21","34.7875","32.084","Warehouse","ppl-To-101"
"bld-To-22","34.7865","32.085","Appartment","ppl-To-102"
"bld-To-23","34.7855","32.085","Commercial","ppl-To-111"
"bld-To-24","34.7875","32.085","Warehouse","ppl-To-112"
"bld-To-25","34.7865","32.083","Appartment","ppl-To-121"
"bld-To-26","34.7855","32.083","Commercial","ppl-To-122"
"bld-To-27","34.7875","32.083","Warehouse","ppl-To-131"
"bld-Tx-28","34.7865","32.09","Appartment","ppl-Txe-132"
"bld-To-29","34.7855","32.09","Commercial","ppl-To-141"
"bld-To-30","34.7875","32.09","Warehouse","ppl-To-142"
"bld-To-31","34.7865","32.091","Appartment","ppl-To-151"
