"rptr-n1-c7-v1-t0","0","34.774","32.0895","vcl-Tco-1"
"rptr-n2-c6-v1-t10","10","34.78","32.0895","vcl-Tco-1"
"rptr-n3-c4-v1-t20","20","34.786","32.0895","vcl-Tco-1"
"rptr-n4-c3-v1-t30","30","34.786","32.0835","vcl-Tco-1"
"rptr-n5-c8-v2-t0","0","34.774","32.0835","vcl-Tco-2"
"rptr-n6-c1-v2-t10","10","34.78","32.0835","vcl-Tco-2"
"rptr-n7-c3-v2-t20","20","34.786","32.0835","vcl-Tco-2"
"rptr-n8-c4-v2-t30","30","34.786","32.0895","vcl-Tco-2"
"rptr-n9-c9-v3-t0","0","34.774","32.0775","vcl-Tmx-3"
"rptr-n10-c8-v3-t10","10","34.774","32.0835","vcl-Tmx-3"
"rptr-n11-c1-v3-t20","20","34.78","32.0835","vcl-Tmx-3"
"rptr-n12-c3-v3-t30","30","34.786","32.0835","vcl-Tmx-3"
"rptr-n13-c6-v4-t0","0","34.78","32.0895","vcl-Tms-4"
"rptr-n14-c1-v4-t10","10","34.78","32.0835","vcl-Tms-4"
"rptr-n15-c5-v4-t20","20","34.78","32.0775","vcl-Tms-4"
"rptr-n16-c2-v4-t30","30","34.786","32.0775","vcl-Tms-4"
"rptr-n17-c4-v5-t0","0","34.786","32.0895","vcl-Tto-5"
"rptr-n18-c3-v5-t10","10","34.786","32.0835","vcl-Tto-5"
"rptr-n19-c2-v5-t20","20","34.786","32.0775","vcl-Tto-5"
"rptr-n20-c5-v5-t30","30","34.78","32.0775","vcl-Tto-5"
"rptr-n21-c3-v6-t0","0","34.786","32.0835","vcl-Tto-6"
"rptr-n22-c1-v6-t10","10","34.78","32.0835","vcl-Tto-6"
"rptr-n23-c8-v6-t20","20","34.774","32.0835","vcl-Tto-6"
"rptr-n24-c7-v6-t30","30","34.774","32.0895","vcl-Tto-6"
"rptr-n25-c6-v7-t0","0","34.78","32.0895","vcl-Tco-7"
"rptr-n26-c1-v7-t10","10","34.78","32.0835","vcl-Tco-7"
"rptr-n27-c5-v7-t20","20","34.78","32.0775","vcl-Tco-7"
"rptr-n28-c9-v7-t30","30","34.774","32.0775","vcl-Tco-7"
"rptr-n29-c2-v8-t0","0","34.786","32.0775","vcl-Tco-8"
"rptr-n30-c3-v8-t10","10","34.786","32.0835","vcl-Tco-8"
"rptr-n31-c4-v8-t20","20","34.786","32.0895","vcl-Tco-8"
"rptr-n32-c6-v8-t30","30","34.78","32.0895","vcl-Tco-8"
"rptr-n33-c9-v9-t0","0","34.774","32.0775","vcl-Tmo-9"
"rptr-n34-c5-v9-t10","10","34.78","32.0775","vcl-Tmo-9"
"rptr-n35-c1-v9-t20","20","34.78","32.0835","vcl-Tmo-9"
"rptr-n36-c3-v9-t30","30","34.786","32.0835","vcl-Tmo-9"
"rptr-n37-c3-v10-t10","10","34.786","32.0835","vcl-Tmo-10"
"rptr-n38-c1-v10-t20","20","34.78","32.0835","vcl-Tmo-10"
"rptr-n39-c8-v10-t30","30","34.774","32.0835","vcl-Tmo-10"
"rptr-n40-c9-v10-t40","40","34.774","32.0775","vcl-Tmo-10"
"rptr-n41-c8-v11-t10","10","34.774","32.0835","vcl-Tto-11"
